RptDt;TckrSymb;ISIN;SgmtNm;MinPric;MaxPric;TradAvrgPric;LastPric;AdjstdQt;RefPric;TradQty;FinInstrmQty
2020-04-06;AFSK20;BRBMEFAFS0G9;FINANCIAL;18790;18830;18802,8;18790;18723,4;;3;1250
2020-04-06;AFSM20;BRBMEFAFS0H7;FINANCIAL;;;;;18796,6;;;
2020-04-06;AFSN20;BRBMEFAFS0I5;FINANCIAL;;;;;18872,2;;;
2020-04-06;ARBK20;BRBMEFARB0G4;FINANCIAL;;;;;78,304;;;
2020-04-06;ARBM20;BRBMEFARB0H2;FINANCIAL;;;;;74,916;;;
2020-04-06;ARBN20;BRBMEFARB0I0;FINANCIAL;;;;;72,211;;;
2020-04-06;ARSK20;BRBMEFARS052;FINANCIAL;;;;;67602;;;
2020-04-06;ARSM20;BRBMEFARS060;FINANCIAL;;;;;70765,3;;;
2020-04-06;ARSN20;BRBMEFARS078;FINANCIAL;;;;;73508,5;;;
2020-04-06;AUDK20;BRBMEFAUD3B2;FINANCIAL;;;;;3224,091;;;
2020-04-06;AUDM20;BRBMEFAUD3C0;FINANCIAL;;;;;3229,218;;;
2020-04-06;AUDN20;BRBMEFAUD3D8;FINANCIAL;;;;;3233,48;;;
2020-04-06;AUSK20;BRBMEFAUS0G0;FINANCIAL;606,9;609,7;608,92;609,7;609,068;;11;221
2020-04-06;AUSM20;BRBMEFAUS0H8;FINANCIAL;609,5;609,5;609,5;609,5;609,116;;2;760
2020-04-06;AUSN20;BRBMEFAUS0I6;FINANCIAL;;;;;609,156;;;
2020-04-06;B3SAOJ20;BRB3SA340018;FINANCIAL;36,96;39,62;38,4;36,96;37,26;;11;4400
2020-04-06;B3SAOK20;BRB3SA350017;FINANCIAL;;;;;37,34;;;
2020-04-06;BGIJ20;BRBMEFBGI5I4;AGRIBUSINESS;187,55;190;188,75;190;189,95;;62;166
2020-04-06;BGIK20;BRBMEFBGI5D5;AGRIBUSINESS;176,5;182,1;179,01;181;181,1;;446;785
2020-04-06;BGIM20;BRBMEFBGI5K0;AGRIBUSINESS;;;;;182,3;;;
2020-04-06;BGIN20;BRBMEFBGI5L8;AGRIBUSINESS;179;179;179;179;181,35;;1;10
2020-04-06;BGIQ20;BRBMEFBGI5J2;AGRIBUSINESS;;;;;182,25;;;
2020-04-06;BGIU20;BRBMEFBGI5M6;AGRIBUSINESS;;;;;183,25;;;
2020-04-06;BGIV20;BRBMEFBGI5F0;AGRIBUSINESS;180,55;185,5;182,86;185;185,15;;269;655
2020-04-06;BGIX20;BRBMEFBGI5N4;AGRIBUSINESS;;;;;193,35;;;
2020-04-06;BGIZ20;BRBMEFBGI5O2;AGRIBUSINESS;;;;;193,35;;;
2020-04-06;BRIM20;BRBMEFBRI2T5;FINANCIAL;11999;11999;11999;11999;12015;;2;50
2020-04-06;BRIQ20;BRBMEFBRI2U3;FINANCIAL;;;;;12066;;;
2020-04-06;CADK20;BRBMEFCAD3A6;FINANCIAL;;;;;3749,961;;;
2020-04-06;CADM20;BRBMEFCAD3B4;FINANCIAL;;;;;3756,763;;;
2020-04-06;CADN20;BRBMEFCAD3C2;FINANCIAL;;;;;3762,832;;;
2020-04-06;CANK20;BRBMEFCAN0G7;FINANCIAL;1414,8;1414,8;1414,8;1414,8;1411,609;;1;160
2020-04-06;CANM20;BRBMEFCAN0H5;FINANCIAL;1412;1412;1412;1412;1411,184;;2;65
2020-04-06;CANN20;BRBMEFCAN0I3;FINANCIAL;;;;;1410,675;;;
2020-04-06;CCMF21;BRBMEFCCP247;AGRIBUSINESS;;;;;46,4;;;
2020-04-06;CCMH21;BRBMEFCCP254;AGRIBUSINESS;;;;;46,93;;;
2020-04-06;CCMK20;BRBMEFCCP221;AGRIBUSINESS;48,52;49,95;48,91;48,6;48,61;;730;1831
2020-04-06;CCMN20;BRBMEFCCP1X6;AGRIBUSINESS;45,4;46,1;45,6;45,6;45,6;;28;57
2020-04-06;CCMU20;BRBMEFCCP1Y4;AGRIBUSINESS;43,7;43,91;43,77;43,87;43,75;;63;238
2020-04-06;CCMX20;BRBMEFCCP239;AGRIBUSINESS;46,15;46,15;46,15;46,15;46,03;;12;50
2020-04-06;CCROOJ20;BRCCRO340017;FINANCIAL;12;12,23;12,17;12,18;12,05;;3;700
2020-04-06;CCROOK20;BRCCRO350016;FINANCIAL;;;;;12,08;;;
2020-04-06;CHFK20;BRBMEFCHF2W3;FINANCIAL;;;;;5416,433;;;
2020-04-06;CHFM20;BRBMEFCHF2X1;FINANCIAL;;;;;5430,177;;;
2020-04-06;CHFN20;BRBMEFCHF2Y9;FINANCIAL;;;;;5443,682;;;
2020-04-06;CHLK20;BRBMEFCHL0G2;FINANCIAL;;;;;850869,9;;;
2020-04-06;CHLM20;BRBMEFCHL0H0;FINANCIAL;;;;;849759,9;;;
2020-04-06;CHLN20;BRBMEFCHL0I8;FINANCIAL;;;;;848837,4;;;
2020-04-06;CIELOJ20;BRCIEL340019;FINANCIAL;;;;;4,05;;;
2020-04-06;CIELOK20;BRCIEL350018;FINANCIAL;;;;;4,06;;;
2020-04-06;CLPK20;BRBMEFCLP2W5;FINANCIAL;;;;;6221,3;;;
2020-04-06;CLPM20;BRBMEFCLP2X3;FINANCIAL;;;;;6238,8;;;
2020-04-06;CLPN20;BRBMEFCLP2Y1;FINANCIAL;;;;;6253,5;;;
2020-04-06;CMIGPJ20;BRCMIG440014;FINANCIAL;8,91;8,91;8,91;8,91;8,51;;3;9600
2020-04-06;CMIGPK20;BRCMIG450013;FINANCIAL;;;;;8,53;;;
2020-04-06;CNHK20;BRBMEFCNH0G0;FINANCIAL;;;;;7105,973;;;
2020-04-06;CNHM20;BRBMEFCNH0H8;FINANCIAL;;;;;7107,32;;;
2020-04-06;CNHN20;BRBMEFCNH0I6;FINANCIAL;;;;;7109,476;;;
2020-04-06;CNYK20;BRBMEFCNY2W2;FINANCIAL;;;;;7460,664;;;
2020-04-06;CNYM20;BRBMEFCNY2X0;FINANCIAL;;;;;7464,631;;;
2020-04-06;CNYN20;BRBMEFCNY2Y8;FINANCIAL;;;;;7467,915;;;
2020-04-06;COGNOJ20;BRCOGN340009;FINANCIAL;3,91;4,08;3,93;4,08;4,21;;11;11900
2020-04-06;COGNOK20;BRCOGN350008;FINANCIAL;;;;;4,21;;;
2020-04-06;DAPF21;BRBMEFDAP2R7;FINANCIAL;2,05;2,05;2,05;2,05;98442;;4;360
2020-04-06;DAPF22;BRBMEFDAP322;FINANCIAL;;;;;96498,02;;;
2020-04-06;DAPJ20;BRBMEFDAP348;FINANCIAL;;;;;99890,48;;;
2020-04-06;DAPK20;BRBMEFDAP2Z0;FINANCIAL;;;;;99495,92;;;
2020-04-06;DAPK21;BRBMEFDAP1K4;FINANCIAL;1,62;1,65;1,64;1,62;98217,19;;7;600
2020-04-06;DAPK23;BRBMEFDAP1G2;FINANCIAL;2,33;2,33;2,33;2,33;93136,05;;6;425
2020-04-06;DAPK25;BRBMEFDAP330;FINANCIAL;3,39;3,39;3,39;3,39;84411,34;;10;265
2020-04-06;DAPK35;BRBMEFDAP2L0;FINANCIAL;;;;;48256,75;;;
2020-04-06;DAPM20;BRBMEFDAP355;FINANCIAL;;;;;99072,04;;;
